,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_1_km,pop_below_18_1_km,pop_between_18_34_1_km,pop_between_34_65_1_km,pop_over_65_1_km,occupied_households_1_km,family_households_1_km,nonfamily_households_1_km,householder_less_than_high_school_1_km,householder_high_school_degree_1_km,householder_some_college_1_km,householder_bachelors_degree_1_km,older_than_3_in_school_1_km,older_than_3_not_in_school_1_km,not_high_school_grad_1_km,high_school_grad_1_km,employed_1_km,unemployed_1_km,not_in_labor_force_1_km,30_49_percet_income_to_rent_1_km,over_50_percent_income_to_rent_1_km,commuters_by_car_truck_van_1_km,commuters_by_car_truck_van_alone_1_km,commuters_by_car_truck_van_carpool_1_km,children_living_with_single_parents_1_km,private_sector_1_km,public_sector_1_km,self_employed_1_km,private_non-profit_1_km,unpaid_family_workers_1_km,households_social_security_income_1_km,households_SsI_1_km,households_retirement_income_1_km,housing_units_1_km,vacant_units_1_km,total_cars_1_km,concentrated_disadvantage_1_km,commute_time_1_km,median_household_income_1_km,average_household_size_1_km,population_density_1_km,median_house_value_1_km,ev_car_count_1_km,total_sessions,total_connection_time,total_amount,total_kwh,num_pois_nearby,distance_freeway
10,AUI-10259,"4977 N Genesta Ave, Los Angeles, CA",34.161293,-118.503322,91316-3402,6037139600,5341.625059,1036.830387,999.4646566,2205.810159,1099.519857,2166.213081,1453.91261,712.3004718,112.5692142,108.2021853,487.7529366,1457.688745,1209.266093,3990.264843,5.894401178,225.2664324,2735.183469,143.6460902,1560.710234,122.473213,224.4837653,2207.881905,2030.298591,177.5833138,118.1745267,1512.254048,241.2089326,735.6210584,231.1783134,14.92111576,672.5969546,57.39564727,346.8985174,2398.247035,232.0339533,4207.850527,-0.696982474,34.85216155,114775.2903,2.488800426,4413.896417,1025724.166,143.7117518,205,488:56:00,593.55,2816.475,59,1.520765681
11,AUI-10228,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.4880218,91436,6037139701,4787.83106,971.0183001,902.3392668,1857.366651,1057.106842,1830.740227,1242.199828,588.5403985,80.91215555,173.5446179,351.948064,1224.335389,1161.059692,3505.559501,6.514046532,171.8834714,2443.939316,74.09796815,1425.631667,150.3352609,194.3329577,1922.02799,1803.079254,118.9487364,160.5169425,1418.858758,171.8527444,678.8282449,170.9992251,3.400343954,669.2793184,53.92896118,288.5655091,1959.471703,128.731476,3485.754129,-1.028742919,32.58404345,144326.0765,2.65828091,3964.480104,1075546.024,171.1818735,195,384:43:00,397.88,1725.87,54,1.540517411
12,AUI-10345,"5093 Alonzo Ave, Los Angeles, CA",34.1625327,-118.520257,91316,6037139502,14386.27017,2424.546286,3376.541111,5817.485757,2767.69702,6339.32821,3644.741108,2694.587102,341.7925075,883.7708176,1912.148763,3201.616122,3436.016875,10554.88823,0.077602108,502.877171,7661.381069,648.0222093,3832.655927,837.5545695,1365.619378,6251.544147,5833.057027,418.4871196,886.0889035,4658.896784,737.6204185,1641.911196,611.056874,11.8957962,1810.300864,477.3707532,764.662344,6731.643166,392.3149562,12222.74612,-0.181694527,35.42100303,82803.31918,2.41593361,11884.09259,916607.5039,124.3607959,82,301:43:00,0,1487.609,30,1.580390937
13,AUI-10248,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,91311,6037113303,5135.229562,1120.294217,1262.160633,1987.176291,765.5984213,1620.084186,1213.688219,406.3959668,157.4272319,377.663052,586.6551017,498.3388005,1423.370346,3559.118017,9.640418155,292.1942729,2591.769605,150.5081561,1436.80895,190.18585,217.5001757,2169.897173,1896.914193,272.9829805,244.0168472,1762.274049,269.7529293,332.4202703,215.157613,12.1647432,470.2679734,130.0800904,253.1060561,1666.784087,46.6999005,3084.448955,-0.307239245,29.23175721,78147.93958,3.025386105,4246.099368,529755.6073,37.45573912,29,62:49:00,78.53,274.83,14,2.135999601
14,AUI-10328,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.2974987,90710-2805,6037294421,13830.49004,3534.07792,3362.493172,5640.513763,1293.405189,4564.325234,3247.695762,1316.629472,1144.113874,997.7561339,1466.752228,955.7029979,3881.366747,9419.173091,78.9836029,717.660074,6715.387977,647.5904407,3269.421102,710.7040234,668.9174593,5617.498429,5011.636673,605.8617563,1108.546753,5124.311178,572.7093881,657.2392,307.6548121,53.4733991,976.9415439,254.6644056,453.2096385,4791.142457,226.8172231,8724.123062,0.596729318,28.26276523,54294.99625,2.750552975,11436.87112,417694.1939,78.29763251,5,0:22,1,2.31,27,1.794324228
15,AUI-10237,"25820 S Western Ave, Los Angeles, CA",33.7887512,-118.3074043,90717,6037293307,17085.50687,3678.968091,4108.635106,7175.25124,2122.652431,5979.703577,4095.101522,1884.602056,1157.633397,1422.23416,1806.450347,1593.385672,4336.698505,12136.65404,43.69435926,725.869893,8886.311672,656.6198084,4231.977885,856.3484837,823.429309,7470.470139,6837.491346,632.9787937,957.7508765,6458.42205,917.9343509,984.0313867,440.8056521,85.11823202,1516.035882,310.4642004,672.9336176,6262.825934,283.1223569,11493.97911,-0.088702906,26.93056514,65582.22429,2.844245163,14115.53193,504526.3055,94.25796102,12,4:32,7.01,18.392,31,2.697257405
16,AUI-10214,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,90732,6037297000,7455.034561,1486.866566,1566.443355,3147.804248,1253.920392,2963.394612,1938.602744,1024.791868,211.4957343,596.7112404,953.5559472,1201.63169,1664.997578,5574.07766,5.527143877,310.6224316,3691.384261,340.3153896,2083.33307,406.4585503,264.1469227,3236.808596,3006.104341,230.7042552,288.8492908,2593.626555,576.1669993,331.3336135,186.5726629,3.684430561,850.9825706,116.6468803,639.5295054,3230.862129,267.4675177,5755.71649,-0.519847093,29.00564678,88693.04948,2.561687226,7349.208832,688063.1107,71.96252386,35,108:46:00,122.04,671.11,19,1.810246368
17,AUI-10262,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,91604,6037143500,11188.09136,2136.412761,2449.676979,5011.065945,1590.935674,4963.928373,2772.623664,2191.304709,144.6972831,414.5298968,1389.136334,3015.564859,2259.261171,8571.950976,0,266.0440571,6578.542497,546.376231,2132.967055,648.1004795,665.6636196,5205.425653,4762.390213,443.0354401,549.5542699,4215.129844,376.391367,1593.446547,375.704192,17.8705468,1055.044518,130.8769519,470.391009,5322.308826,358.3804526,9617.305456,-0.067309446,33.08116469,111857.8698,2.292221223,9454.856147,995181.152,227.6096254,217,689:17:00,746.87,2478.211,56,1.418334271
18,AUI-10224,"23743 W Roscoe Blvd, Los Angeles, CA",34.2193029,-118.644998,91304,6037113231,2649.346007,467.8862109,487.5087574,1125.621568,568.3294711,927.3163606,705.8080665,221.5082942,22.07754801,124.5141946,233.3174054,547.4072127,618.6388242,1971.197559,0.088484756,98.34297866,1286.196086,93.32587718,862.5327518,22.75303362,58.45713998,1044.122872,939.5630478,104.5598239,56.34773198,808.6071684,110.2508669,274.4912322,81.95681207,10.8900068,371.3641533,44.29519507,208.8549972,938.5806572,11.26429652,1741.50134,-0.860511104,33.64507489,115783.5376,2.910082015,2192.293726,741691.0124,55.16432336,96,189:25:00,123.71,862.152,17,2.46886808
19,AUI-10269,"17729 Chatsworth Ave, Los Angeles, CA",34.2651037,-118.5208745,91344,6037111202,9317.666741,2102.13726,1999.632013,3919.192892,1296.704577,3219.657179,2162.393625,1057.263553,227.9178092,534.793409,1181.07107,1275.87489,2641.605848,6404.091584,15.34750447,628.9948561,4669.354285,259.6032035,2698.934178,398.8260471,393.3174066,4002.554437,3553.121808,449.4326284,342.5740805,3006.047547,692.0617249,653.5222778,316.3550094,1.367726218,848.3359294,223.7215274,479.9869824,3574.094539,354.43736,6147.018278,-0.588054355,32.34756913,78985.26218,2.886944393,7693.158247,574409.0643,79.85806225,89,246:32:00,112.01,1389.768,31,1.840021392
20,AUI-10205,"6710 Platt Ave, Los Angeles, CA",34.1925151,-118.6425347,91307,6037135203,6610.595491,1517.385907,919.4424918,3069.930658,1103.836434,2166.911639,1731.020336,435.8913023,49.67647384,291.6793949,692.2299521,1133.325818,1709.167335,4707.043561,0.646173826,376.5110822,3108.556856,185.3973156,1995.49445,68.25185762,86.97164499,2672.808029,2429.019765,243.7882637,244.7456424,1954.749497,334.0025173,618.8865277,200.1105972,0.807717282,706.177761,66.78042039,367.1199948,2243.91334,77.00170104,4269.705676,-0.700859615,33.07761669,115718.2476,3.026216024,5457.992369,662400.4536,148.8848106,89,152:22:00,164.11,808.296,26,2.357698217
21,AUI-10255,"290 N Mission Road, Los Angeles, CA",34.0506258,-118.2270707,90033,6037206032,12140.75683,1533.722933,5175.406178,4257.566488,1174.061235,2692.492445,1498.424865,1194.06758,856.9241999,464.867484,616.187244,754.5135173,1890.452756,9991.631605,70.44928446,430.5224173,3680.806681,133.8704189,7050.405739,617.0145272,741.6457769,2494.295942,2070.374236,423.9217057,734.9517118,2517.445982,326.8833955,615.4882883,205.5774106,15.41160489,773.2107062,370.201563,135.6346206,2902.561505,210.0690597,4602.140274,-0.028926598,31.92511908,59086.47279,2.501895983,10316.48224,496488.6431,148.8641813,2,0:00,0,0.07,41,1.322219637
22,AUI-10268,"17832 Plummer Street, Los Angeles, CA",34.2428198,-118.5227509,91330-8449,6037115104,8328.630436,868.4595187,4702.997328,1935.942504,821.231085,2190.498533,1187.944371,1002.554162,90.85689282,282.0456568,873.2587478,944.3372356,4827.119708,3424.826186,0,1709.909601,3957.9368,507.3761156,3136.882724,309.9775778,496.2939493,2716.514732,2524.361913,192.1528192,151.7104171,2510.621668,663.1756273,408.4752349,371.1278964,4.536372637,463.5766153,87.3986905,242.5563667,2409.098712,218.6001789,4155.538243,0.291884915,25.02360436,78113.48215,3.271637152,6899.124156,754898.2432,158.056602,20,80:57:00,16.93,306.375,32,2.644649893
23,AUI-10257,"20321 W Saticoy St, Los Angeles, CA",34.2082681,-118.4721919,91406,6037127300,11341.01445,2722.83591,2912.131317,4659.197799,1046.84942,3723.427843,2425.26573,1298.162112,863.055494,870.130767,1192.407857,797.8337247,2682.882907,8055.220993,72.80066847,508.1617617,5914.41909,471.1833726,2440.789007,833.8073571,799.20917,4753.611031,3914.970868,838.6401634,765.0855912,4348.959011,477.161092,784.6004804,303.6985066,0,668.5309009,255.9776828,314.3243019,3898.551868,175.1240255,6947.024014,-0.085115665,33.07777609,50159.15398,3.14940117,9410.404538,454966.5981,119.9390764,6,5:22,10.81,30.082,26,5.066727533
24,AUI-10274,"651 W 1st, Los Angeles, CA",33.7810202,-118.2694377,90744,6037294810,22611.79725,7217.332579,6364.715498,7645.888073,1383.861096,5458.792399,4483.887173,974.9052263,2817.614992,1277.337548,1072.026147,291.8137121,7438.814068,14115.08073,90.68051062,1261.515015,9768.736236,828.256243,5440.003025,1302.171724,1127.454167,7952.025958,6877.434348,1074.59161,2457.832434,7870.11655,550.9719658,932.9768893,385.1606131,29.5102177,965.6572337,400.37342,400.6805364,5739.250683,280.4582841,10222.78451,0.449757118,25.00657812,44610.57952,4.047713626,18675.20027,370049.9677,15.12751069,14,22:43,0,95.417,31,2.255628133
25,AUI-10245,"9200 Venice Blvd, Los Angeles, CA",34.0263805,-118.3933239,90034-4000,6037270100,16168.75317,1956.588442,6371.174198,6447.4267,1393.563827,8019.244075,3000.743008,5018.501067,362.211267,779.9939826,1760.151074,5116.887751,2833.358949,12876.51676,1.108280369,310.4938367,10882.96102,437.8704226,3006.772746,1598.980021,1335.722788,8664.325165,8267.233004,397.092161,387.3266557,7623.666955,871.1059804,1452.060589,930.6070906,5.52040982,893.8544451,203.0322589,509.2960993,8482.569787,463.3257123,15381.61831,-0.375565129,26.06397295,81887.38804,2.142876788,13373.86146,800449.5128,243.5763033,102,200:08:00,350.4,974.938,67,1.763258071
26,AUI-10216,"4712 W Washington Blvd, Los Angeles, CA",34.0395664,-118.3420489,90016,6037218600,18958.02604,3943.413808,5064.646252,7834.729806,2115.236176,6784.403267,3860.576537,2923.826731,1731.529828,1118.642311,1998.415334,1935.815794,4870.628955,13405.9488,10.95483856,757.581441,9725.505969,620.1833329,5151.178384,1305.852413,1626.527108,7437.448247,6930.256301,507.1919458,1233.68835,6628.752444,974.743195,1622.90256,468.6241377,30.48363238,1475.102696,569.0994447,689.3939815,7340.72735,556.3240832,12466.47582,0.256275188,32.82979684,48527.95632,2.72560344,15668.59896,676761.4593,117.7864827,80,199:32:00,388.71,1025.825,35,4.831688037
27,AUI-10273,"13310 W Bluff Creek Dr, Los Angeles, CA",33.9681023,-118.4262923,90293,6037275602,9969.024617,1300.967717,4389.753826,3347.783151,930.5199234,3359.068919,1772.4689,1586.60002,22.11117825,159.5887561,820.6191859,2356.749799,4116.550777,5481.572386,0,1572.614933,5405.85946,351.0820273,2984.672353,407.03193,471.0333271,3743.788952,3499.525435,244.263517,182.7886435,3239.89999,495.2665272,869.4181718,775.8041617,25.47060892,600.5833336,53.10277816,336.7834971,3679.671789,320.6028693,6595.646721,-0.492821542,26.11585575,117082.8231,2.373269318,8395.790143,1108949.016,201.4288797,307,838:56:00,1182.76,3781.072,47,1.230623901
28,AUI-10270,"9037 Loyola Blvd, Los Angeles, CA",33.9574659,-118.4177188,90045,6037276604,7940.361232,900.3989428,3867.922916,2279.827786,892.2115874,2823.745123,1276.270047,1547.475076,20.2598902,227.7761136,805.8060768,1769.903042,3291.666296,4539.865693,0,1254.580891,4281.918269,247.0200256,2656.648091,239.0854947,508.477291,3145.425583,2918.622951,226.8026317,121.8940959,2673.232498,448.555049,501.4084644,623.2693944,35.45286277,513.3455659,55.9168735,334.1690651,3072.233083,248.4879601,5557.028471,-0.32849992,26.17333999,91714.86967,2.536648624,6552.545013,835467.0961,90.31204944,10,21:43,9.6,92.112,31,2.327653
29,AUI-10232,"1724 W Century Blvd, Los Angeles, CA",33.9453286,-118.3073544,90047,6037238000,15174.83567,3436.746561,3396.426962,6131.003183,2210.65896,5184.140067,3577.030212,1607.109855,1453.74008,1184.687387,1855.946849,689.765751,3519.645532,11232.20788,28.53677441,750.1347084,6344.637872,719.0513311,5041.848257,874.739577,1044.064962,5370.849435,4917.888049,452.9613852,1561.927122,4386.355662,1037.145438,586.0283059,311.4377466,23.67071972,1639.660872,679.1065627,889.5304638,5570.740439,386.6003723,9307.35796,1.086314147,36.36212458,52609.06251,2.818792457,12541.27394,394345.9969,31.28648806,83,283:51:00,247.81,561.294,16,1.982868996
30,AUI-10256,"8843 S St Andrews Pl, Los Angeles, CA",33.9573684,-118.3116296,90047,6037238400,11874.16392,2251.656636,2523.168321,4754.79551,2344.543456,4646.963237,2983.55256,1663.410676,694.6817846,1028.213324,1823.626666,1100.441463,2777.437652,8639.643425,11.45068608,487.0040281,5266.080188,484.5221725,4080.886598,575.4583634,716.7342696,4661.947275,4323.66314,338.2841354,1128.757742,3234.780668,1142.27346,358.9881925,514.7620476,15.27581953,1571.783195,439.1949752,1140.357541,4896.210412,249.2471753,8606.823864,0.737744634,33.60010329,55507.91181,2.543816955,9779.536711,416838.1346,35.93658982,10,11:23,19.49,45.382,25,2.279602459
31,AUI-10230,"8923 S Western Ave, Los Angeles, CA",33.9556072,-118.3092868,90047,6037238400,12537.14279,2481.995264,2659.9437,5077.606765,2317.597059,4773.674736,3151.221213,1622.453524,883.0451295,1106.676025,1828.07275,955.880832,2822.987996,9227.191555,15.26787214,551.5685098,5459.754396,577.935373,4273.220059,631.2120777,823.1608329,4792.427971,4481.773663,310.6543085,1286.51938,3471.767231,1126.896546,400.3288216,440.0022241,20.75957326,1612.672776,486.2919882,1142.64316,5037.208802,263.5340661,8737.543078,0.85627938,33.74364947,53943.64614,2.586814883,10339.87475,404833.8393,33.32900368,12,9:38,3.13,33.759,23,2.081092321
32,AUI-10234,"3145 S Vermont Ave, Los Angeles, CA",34.0262389,-118.291681,90089,6037221900,25938.94356,2880.114389,16260.86999,4953.047127,1844.912046,6762.524502,2778.37205,3984.152452,1588.477641,1179.505711,1831.76684,2162.77431,14932.39079,10473.44802,49.6581245,4714.89088,9888.764015,1794.16496,11798.38956,1283.070721,2151.735137,5123.612021,4387.228854,736.3831675,1115.447104,6700.610452,597.5414572,982.486753,1595.461726,12.66362626,1207.916868,492.9447147,479.0882485,7387.732104,625.2076026,11336.83741,1.491044099,27.59676446,22405.20477,3.087458197,21437.9024,565037.6923,117.4038345,59,101:36:00,189.17,328.317,60,1.655510065
33,AUI-10240,"3540 W 3rd St, Los Angeles, CA",34.0687591,-118.2931096,90020,6037211921,51592.76042,9537.730546,17895.92343,19363.49604,4795.610398,20358.27165,10695.51197,9662.759681,4227.79549,3669.664108,4589.098307,7871.713746,12195.62147,37364.79877,102.5365442,1658.014497,28538.00482,1683.583663,12636.50282,5247.421673,5632.825869,18783.16821,16778.83044,2004.337775,3063.520268,21587.19802,1502.389662,4405.202491,1025.867404,17.34724304,2731.019937,1071.329358,669.8128798,22989.57052,2631.298875,35750.43548,0.172960297,32.9000923,43143.9674,2.53348601,42602.95041,578288.4332,233.2335317,107,206:19:00,264.46,742.586,89,1.292231052
34,AUI-10239,"19054 N Kittridge St, Los Angeles, CA",34.1902212,-118.5485848,91335,6037132502,14973.50414,3119.495272,3515.785079,5976.82601,2361.397776,4661.819828,3289.324777,1372.495051,698.6342107,1134.772922,1418.035791,1410.376904,3722.395647,10715.47587,18.96699968,769.8217547,6855.898416,560.1717995,4792.467939,542.4282251,975.1548859,5901.418279,5216.532433,684.8858461,831.7951124,4682.36062,716.3437689,1077.859207,375.8142719,3.520547736,1244.857189,519.5899916,475.9965391,4831.268083,169.4482555,8698.716955,0.054476801,31.54832835,58939.78729,3.091353613,12466.482,472917.9406,80.44929427,143,243:50:00,404.4,1278.258,18,1.784728336
35,AUI-10225,"23385 W Burbank Blvd, Los Angeles, CA",34.1722467,-118.6443485,91367,6037137302,5103.899611,971.7282996,679.824376,2376.834439,1075.512496,1766.243373,1364.015093,402.2282792,27.96592496,135.0036143,513.5497717,1089.724062,1338.192533,3638.754566,0,195.7112219,2386.898591,142.045868,1723.513296,71.16994196,79.29999106,2053.555994,1891.044857,162.5111367,68.45738021,1427.12725,174.9872596,649.1624071,131.0442267,4.577447417,590.4257989,102.2456638,341.9400473,1815.333342,49.08996978,3456.074559,-0.917950117,33.53193742,130814.9369,2.885589624,4222.703434,851638.5297,116.9726573,43,75:51:00,47,367.331,0,1.741275223
36,AUI-10223,"18401-18435 Kittridge St, Los Angeles, CA",34.1902425,-118.5335015,91335,6037132700,12952.96903,2939.717771,2993.054418,5461.093161,1559.103684,4135.791186,2900.85891,1234.932277,798.3229678,803.8827494,1278.912211,1254.673258,3740.800727,8808.586976,11.89151384,645.3992414,6635.356631,252.0107774,3476.452699,598.5966567,699.8087415,5343.099409,4642.907687,700.1917223,755.8585733,4441.930144,635.3008229,1199.461364,351.140895,7.523405271,963.8122171,362.9692879,383.1044794,4287.233584,151.4423973,7796.94314,-0.424021699,31.85359556,63168.91891,3.121505523,10769.2727,525708.8197,81.71881793,9,175:42:00,4.34,63.564,30,2.014073723
37,AUI-10203,"6813 N Hayvenhurst Ave, Los Angeles, CA",34.166923,-118.4923732,91436,6037980024,2571.244997,494.5139485,487.3964929,1044.943512,544.3910435,973.4240473,689.0614138,284.3626334,58.09286281,75.92761639,171.4836013,667.9199667,577.1761284,1928.684099,5.057568797,88.44161228,1339.946612,40.32661435,757.4575148,74.92140241,61.36873365,1050.471906,971.7371707,78.7347352,49.26298065,794.6852913,118.3294094,332.804653,92.44089259,1.68636541,324.9092079,26.29433537,154.7216495,1054.515141,81.09109347,1885.695641,-1.262534824,31.45669302,129893.3985,2.844983225,2122.904166,847932.0397,168.0816298,29,48:48:00,91.64,235.361,18,1.427323909
