,Station,Total Sessions,Address,Distance To Freeway (in miles),Latitude,Longitude
58,AUI-10220,23,"616 W Washington Blvd, Los Angeles, CA",2.593882756875914,34.0337594,-118.2708283
59,AUI-10243,3,"13076 W Sherman Way, Los Angeles, CA",9.898060886573996,34.2009476,-118.5231531
60,AUI-10204,150,"2843 S Flower St, Los Angeles, CA",2.0876923161312373,34.0543536,-118.2535055
61,AUI-10200,207,"182 S Alameda St, Los Angeles, CA",5.355732255042099,34.047544,-118.2379907
62,AUI-10227,49,"19135 W Victory Blvd, Los Angeles, CA",12.370706144688384,33.967248,-118.33303
63,AUI-10235,102,"12387 W Osborne St, Los Angeles, CA",15.852974075749536,35.006136,-117.636659
64,AUI-10206,108,"6765 W Foothill Blvd, Los Angeles, CA",12.870253941315962,34.1081136,-117.7492179
65,AUI-10266,25,"12518 W Oxnard St, Los Angeles, CA",10.218310086666262,34.1792808,-118.6037837
66,AUI-10264,45,"12728 W Sherman Way, Los Angeles, CA",9.898060886573996,34.2009476,-118.5231531
67,AUI-10229,121,"15596 W Roxford St, Los Angeles, CA",19.331793130008933,34.049471,-118.394149
68,AUI-10247,25,"13194 W Sherman Way, Los Angeles, CA",9.898060886573996,34.2009476,-118.5231531
69,AUI-10251,96,"1348 Abbot Kinney Blvd, Los Angeles, CA",6.821705963573799,33.9907441,-118.4667377
70,AUI-10267,12,"13629 W Sherman Way, Los Angeles, CA",9.898060886573996,34.2009476,-118.5231531
71,AUI-10249,126,"3773 Motor Ave, Los Angeles, CA",3.7746949341428895,34.0211843,-118.404615
72,AUI-10236,18,"840 Imperial Hwy, Los Angeles, CA",5.916048743796755,33.9309339,-118.3967282
73,AUI-10233,111,"4121 Valley Blvd, Los Angeles, CA",6.45425463145993,34.0674392,-118.1767892
74,AUI-10231,70,"1862 Robertson Blvd, Los Angeles, CA",5.93325597226831,34.0453422,-118.3863608
75,AUI-10238,12,"8931 Venice Blvd, Los Angeles, CA",5.60932632173809,34.0285267,-118.3892061
76,AUI-10289,71,"4940 Paso Robles Ave, Los Angeles, CA",12.370706144688384,34.1604317,-118.5020761
77,AUI-10285,12,"10928 W Pico Blvd, Los Angeles, CA",5.93325597226831,34.0344725,-118.4400619
78,AUI-10291,18,"4647 Marmion Way, Los Angeles, CA",3.874892816750041,34.0986954,-118.2064602
79,AUI-10293,19,"7224 Valjean Ave, Los Angeles, CA",12.395354849914405,34.2018558,-118.4857777
80,AUI-10280,28,"16501 Otsego St, Los Angeles, CA",12.370706144688384,34.162738,-118.49249
81,AUI-10277,36,"4424 Wesley Ave., Los Angeles, CA",1.8413935497196492,34.0033532,-118.287687
82,AUI-10279,15,"18235 South Figueroa St, Los Angeles, CA",5.879758341103129,33.8637861,-118.2815686
83,AUI-10284,14,"15321 S Figueroa St, Los Angeles, CA",5.9066653667658455,33.8815415,-118.2825779
84,AUI-10283,49,"18401 Burbank Blvd, Los Angeles, CA",12.370706144688384,34.1721024,-118.5338152
85,AUI-10286,32,"7245 Canoga Ave, Los Angeles, CA",18.181867233248138,34.1722494,-118.5974363
86,AUI-10326,19,"5962 San Vicente Blvd, Los Angeles, CA",4.171450617123102,34.0569554,-118.3606769
87,AUI-10315,5,"14901 Rinaldi street, Los Angeles, CA",16.167718182495637,34.279074,-118.457507
88,AUI-10282,31,"10455 W Magnolia Blvd, Los Angeles, CA",9.869312410778942,34.1661053,-118.3522517
89,AUI-10308,186,"3117 Temple St., Los Angeles, CA",2.0119708246068044,34.0750216,-118.2803758
90,AUI-10314,30,"20124 Sherman Way, Los Angeles, CA",17.21876186255964,34.2012413,-118.4934698
91,AUI-10309,37,"8245 Winnetka Ave, Los Angeles, CA",17.21876186255964,34.2190021,-118.5711318
92,AUI-10288,28,"1747 S Barrington Ave, Los Angeles, CA",6.129793928109894,34.0406771,-118.4535129
93,AUI-10298,3,"10416 Irene St, Los Angeles, CA",5.60932632173809,34.0300686,-118.4114289
94,AUI-10302,84,"722 Alameda St, Los Angeles, CA",12.309587779913263,34.1826147,-118.135594
95,AUI-10287,95,"2900 S Sepulveda Blvd, Los Angeles, CA",5.673217446839215,33.9525405,-118.3964036
96,AUI-10321,53,"6510 Forest Lawn Drive, Los Angeles, CA",8.103419638606082,34.148075,-118.3303013
97,AUI-10322,24,"11320 Laurel Canyon Blvd, Los Angeles, CA",16.167718182495637,34.2251134,-118.3964705
98,AUI-10317,18,"8309 Louise Ave, Los Angeles, CA",12.395354849914405,34.2504403,-118.5111513
99,AUI-10310,2,"7537 Balboa Blvd, Los Angeles, CA",13.400661624232514,34.321447,-118.4958885
100,AUI-10313,23,"18099 Rinaldi street, Los Angeles, CA",18.530770689419985,34.2790708,-118.4681522
101,AUI-10312,40,"21900 Plummer St, Los Angeles, CA",22.216729156040316,34.2428781,-118.4788118
102,AUI-10307,12,"10567 Mason Ave, Los Angeles, CA",18.530770689419985,34.2617226,-118.5799283
103,AUI-10387,8,"5350 San Vicente Blvd, Los Angeles, CA",4.171450617123102,34.0544859,-118.3563552
104,AUI-10294,33,"1143 S Beverly Dr, Los Angeles, CA",6.1018697396131305,34.0567284,-118.3965213
105,AUI-10292,12,"664 S Central Ave, Los Angeles, CA",3.5234446786683535,34.1383605,-118.2577536
106,AUI-10295,57,"5931 W 18th St, Los Angeles, CA",5.93325597226831,34.0436461,-118.3716651
107,AUI-10296,58,"6299 W 87th St, Los Angeles, CA",5.030964240664084,33.958645,-118.394588
108,AUI-10290,45,"1398 S Orange Grove Ave, Los Angeles, CA",5.93325597226831,34.051404,-118.365526
109,AUI-10318,17,"2442 Marengo St, Los Angeles, CA",5.795952626466025,34.0542022,-118.2017452
110,AUI-10319,10,"10108 Mason Avenue, Los Angeles, CA",22.639547638696122,34.2824601,-118.5828105
111,AUI-10316,11,"3022 S Grand Ave, Los Angeles, CA",2.1982159662086445,34.0544664,-118.2498851
112,AUI-10281,8,"3000 W Slauson Ave, Los Angeles, CA",2.140711381708608,33.98916,-118.2855836
113,AUI-10324,19,"11009 S Figueroa St, Los Angeles, CA",4.333691429007996,33.8637861,-118.2815686
114,AUI-10323,11,"1033 W Pacific Coast Hwy, Los Angeles, CA",10.323177855972117,34.009299,-118.187726
115,AUI-10311,101,"5160 Vineland Avenue, Los Angeles, CA",9.286388821594496,34.2120714,-118.3703358
116,AUI-10299,20,"11410 Burbank Blvd, Los Angeles, CA",9.898060886573996,34.1721631,-118.3791985
117,AUI-10320,28,"21365 Erwin St, Los Angeles, CA",13.021988632051833,34.1829366,-118.5967288
118,AUI-10325,12,"8201 Tampa Avenue, Los Angeles, CA",16.467721127249117,34.2576868,-118.5537155
119,AUI-10306,50,"6007 Variel Ave, Los Angeles, CA",12.370706144688384,34.1794749,-118.5928713
120,AUI-10356,30,"7647 Canoga Avenue, Los Angeles, CA",18.181867233248138,34.209152,-118.5976184
121,AUI-10338,15,"3845 Selig Pl, Los Angeles, CA",5.931457321253926,34.0684686,-118.200387
122,AUI-10348,35,"10215 Palms Blvd, Los Angeles, CA",5.60932632173809,34.0274946,-118.4066813
123,AUI-10342,3,"9418 National Blvd, Los Angeles, CA",5.793392142542049,34.0271411,-118.4292458
124,AUI-10297,18,"13308 Paxton St, Los Angeles, CA",16.06410890899355,34.2762313,-118.422519
125,AUI-10303,46,"1499 Gordon St, Los Angeles, CA",6.105218517703221,34.097911,-118.32021
126,AUI-10305,23,"3211 Beverly Blvd, Los Angeles, CA",1.969751859638873,34.07625,-118.309053
127,AUI-10300,58,"3215 Beverly Blvd, Los Angeles, CA",1.969751859638873,34.07625,-118.309053
128,AUI-10301,5,"256 S Lafayette Park Pl, Los Angeles, CA",2.0119708246068044,34.062864,-118.282294
