,Unnamed: 0,Unnamed: 0.1,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles),num_pois_nearby,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65,ev_car_count,total_sessions
0,0,0,AUI-10372,5,"2316 W Martin Luther King Jr Blvd, Los Angeles, CA",34.0107197,-118.3188814,2.1706564560987736,20,0.3613374312064177,31.04545454545455,0.4171821887015224,64225.27272727273,4715.863636363636,1043.939393939394,1331.2878787878788,1844.6515151515152,495.9848484848485,307.8333333333333,5
1,1,1,AUI-10263,159,"1231 S Hill St, Los Angeles, CA",34.0385137,-118.26189,1.977402030906096,99,0.4631292104629496,31.893939393939394,0.4824644758110764,54242.484848484855,3652.090909090909,860.1212121212121,949.030303030303,1419.8787878787882,423.06060606060606,242.3939393939394,159
2,2,2,AUI-10254,57,"942 S Crocker St, Los Angeles, CA",34.0351995,-118.2499719,1.150072388251174,98,0.39093990474269696,31.65151515151515,0.5906834306094358,49977.34848484849,3937.378787878788,936.5,1081.378787878788,1476.9848484848487,442.5151515151515,233.5909090909091,57
3,3,3,AUI-10265,26,"5764 S Vermont Ave, Los Angeles, CA",33.9897875,-118.2911317,3.5515490828637404,30,0.692979955854158,31.818181818181817,0.4552045366456606,50050.16666666666,3981.1969696969695,937.6666666666665,1076.6818181818182,1527.2272727272727,439.6212121212122,137.1818181818182,26
4,4,4,AUI-10218,122,"7150 N Shoup Ave, Los Angeles, CA",34.200029,-118.614541,1.2370966618619246,36,-0.8609890064143906,33.106382978723396,0.9524105855668724,102453.19148936169,4673.95744680851,992.0425531914892,892.4893617021277,1984.4255319148936,805.0,668.8085106382979,122
5,5,5,AUI-10241,17,"20771 W Sherman Way, Los Angeles, CA",34.2011999,-118.4531985,5.869101475444831,33,-0.3943332560110399,31.272727272727273,0.9485674305729924,94287.0,4566.742424242424,979.6363636363636,1051.439393939394,1868.3939393939395,667.2727272727273,486.3181818181818,17
6,6,6,AUI-10201,60,"145 E Olympic Blvd, Los Angeles, CA",34.0401526,-118.2564209,1.3281805703505236,109,0.4284050452757439,31.323076923076922,0.5412577380179391,53695.8,3836.769230769231,918.5538461538463,1007.9230769230768,1460.0461538461539,450.2461538461538,242.83333333333331,60
7,7,7,AUI-10226,139,"1222 S Grand Ave, Los Angeles, CA",34.03928270000001,-118.2635887,1.4106783828660152,100,0.5368486782949875,31.78787878787879,0.4601389679172532,54506.560606060615,3550.7727272727275,826.7727272727273,917.1515151515152,1392.030303030303,414.8181818181818,258.8333333333333,139
8,8,8,AUI-10212,34,"1676 N Hobart Blvd, Los Angeles, CA",34.1013974,-118.3056538,1.3761740733069177,56,0.19089553176540566,29.936507936507937,0.4336512591459713,68991.31746031746,4136.106060606061,707.2424242424244,1196.7727272727273,1700.6515151515152,531.439393939394,546.2424242424241,34
9,9,9,AUI-10244,25,"5617 N Laurel Canyon Blvd, Los Angeles, CA",34.2259818,-118.3978384,4.963802879676463,26,-0.20548581097401533,31.606557377049178,0.7894389065272955,70778.13114754099,4129.924242424242,875.030303030303,1022.7424242424244,1670.0,562.1515151515151,380.25757575757575,25
10,10,10,AUI-10259,205,"4977 N Genesta Ave, Los Angeles, CA",34.16129300000001,-118.503322,1.5207656807128698,59,-0.6014661271314901,31.69230769230769,0.733682621007853,129790.04615384615,3496.439393939394,728.7272727272727,793.8030303030303,1424.6969696969695,549.2121212121212,797.3181818181819,205
11,11,11,AUI-10228,195,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.48802179999998,1.5405174105375652,54,-0.7196157051033638,31.21875,0.8013075967447432,127552.265625,3879.348484848485,785.7121212121212,855.6969696969697,1582.8181818181818,655.1212121212121,805.030303030303,195
12,12,12,AUI-10345,82,"5093 Alonzo Ave, Los Angeles, CA",34.16253270000001,-118.520257,1.5803909365370283,30,-0.6991816310995567,31.968253968253972,0.6916301437682157,126752.98412698413,4087.303030303031,836.2424242424244,875.1666666666665,1735.090909090909,640.8030303030303,701.7272727272727,82
13,13,13,AUI-10248,29,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,2.1359996009633018,14,-0.6510490409714008,33.25423728813559,0.8071132820017113,94625.33898305084,3997.6721311475408,808.983606557377,886.9016393442622,1676.2459016393445,625.5409836065572,630.1147540983608,29
14,14,14,AUI-10328,5,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.2974987,1.794324228282144,27,-0.3739253650802652,29.08695652173913,0.718744625783356,107085.0,3185.833333333333,685.3333333333334,607.4545454545455,1317.0757575757575,575.969696969697,562.4,5
15,15,15,AUI-10237,12,"25820 S Western Ave, Los Angeles, CA",33.78875120000001,-118.3074043,2.697257404774312,31,-0.89568893619223,30.13636363636364,0.6870164424110411,104010.45098039217,3517.106060606061,739.5,625.6666666666666,1434.2727272727273,717.6666666666665,625.8939393939394,12
16,16,16,AUI-10214,35,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,1.8102463681481435,19,-0.2603969960157905,29.47826086956522,0.4852084139874227,90274.62068965516,1606.1363636363635,324.59090909090907,296.1818181818182,655.5,329.8636363636364,650.8,35
17,17,17,AUI-10262,217,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,1.4183342708973623,56,-0.20288787938546907,29.11111111111111,0.6767639003980312,109533.67213114754,3840.560606060606,710.5606060606059,914.7878787878788,1608.2121212121212,607.0,662.3181818181819,217
18,18,18,AUI-10224,96,"23743 W Roscoe Blvd, Los Angeles, CA",34.219302899999995,-118.644998,2.4688680796390194,17,-0.6558615541830629,31.815789473684212,0.7570798941339537,93264.57894736844,4649.9473684210525,937.3684210526317,984.3684210526317,2003.1315789473686,725.078947368421,613.7894736842105,96
19,19,19,AUI-10269,89,"17729 Chatsworth Ave, Los Angeles, CA",34.265103700000004,-118.5208745,1.840021391562077,31,-0.5715224036141849,32.609375,0.9744542522943572,81512.734375,4702.757575757576,1099.0151515151517,1064.7727272727273,1929.2272727272727,609.7424242424242,468.16666666666674,89
20,20,20,AUI-10205,89,"6710 Platt Ave, Los Angeles, CA",34.1925151,-118.6425347,2.3576982174984,26,-0.6853384951453575,34.56818181818182,0.8732887132978007,106356.97727272726,5054.818181818182,1069.3863636363637,976.7954545454544,2151.909090909091,856.7272727272727,716.8409090909091,89
