,Unnamed: 0,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles),num_pois_nearby,ev_car_zip_count,concentrated_disadvantage,commute_time,cars_per_home,median_household_income,total_population,pop_below_18,pop_between_18_34,pop_between_34_65,pop_over_65
29,29,AUI-10232,83,"1724 W Century Blvd, Los Angeles, CA",33.9453286,-118.3073544,1.9828689963255035,16,130,0.9531079545501422,37.0,0.3865704424223407,63970.0,5886,748,1183,2998,957
30,30,AUI-10256,10,"8843 S St Andrews Pl, Los Angeles, CA",33.9573684,-118.31162959999999,2.279602458621384,25,130,0.9004643733281146,30.0,0.5211102423768569,51420.0,4801,1078,893,1748,1082
31,31,AUI-10230,12,"8923 S Western Ave, Los Angeles, CA",33.9556072,-118.3092868,2.0810923206470524,23,130,0.9004643733281146,30.0,0.5211102423768569,51420.0,4801,1078,893,1748,1082
32,32,AUI-10234,59,"3145 S Vermont Ave, Los Angeles, CA",34.026238899999996,-118.29168100000001,1.6555100649254468,60,70,2.297692875224299,25.0,0.16132723112128147,12319.0,3802,264,3082,235,221
33,33,AUI-10240,107,"3540 W 3rd St, Los Angeles, CA",34.0687591,-118.2931096,1.2922310522018416,89,225,-0.5171093414614294,31.0,0.06976744186046513,33407.0,2519,484,788,1053,194
34,34,AUI-10239,143,"19054 N Kittridge St, Los Angeles, CA",34.1902212,-118.5485848,1.7847283361255426,18,435,1.040382780783061,30.0,0.66864490603363,59917.0,4085,933,1038,1599,515
35,35,AUI-10225,43,"23385 W Burbank Blvd, Los Angeles, CA",34.1722467,-118.6443485,1.7412752231701814,0,766,-0.9905119131580892,32.0,0.8640939597315436,134971.0,4406,794,455,2127,1030
36,36,AUI-10223,9,"18401-18435 Kittridge St, Los Angeles, CA",34.1902425,-118.53350149999999,2.0140737231251142,30,435,-0.7044693106375564,32.0,0.5041758241758242,68553.0,5048,1317,1065,2140,526
37,37,AUI-10203,29,"6813 N Hayvenhurst Ave, Los Angeles, CA",34.166923,-118.4923732,1.427323908551982,18,901,-1.5011055546267231,29.0,1.5315315315315314,124038.0,264,74,47,112,31
38,38,AUI-10202,12,"6013 W Cadillac Ave, Los Angeles, CA",34.037672,-118.37471399999998,3.0617800266793664,30,712,-0.2463759603111226,26.0,0.4799123447772096,73375.0,2543,525,764,929,325
39,39,AUI-10253,116,"587 S Hobart Blvd, Los Angeles, CA",34.0638047,-118.30550590000001,2.1547804724392035,94,140,-0.589325738104732,29.0,0.07488653555219364,40625.0,4463,806,1163,2032,462
40,40,AUI-10215,107,"609 W Alpine St, Los Angeles, CA",34.063369,-118.241175,1.5155215110652418,99,1016,1.1038277491155806,26.0,0.14941892639734367,27292.0,2324,380,509,922,513
41,41,AUI-10219,138,"6438 N Fulton Ave, Los Angeles, CA",34.18744,-118.42241200000001,1.5956351757458818,29,532,0.228808348148288,32.0,0.4917444364680546,53098.0,2888,737,821,1055,275
42,42,AUI-10242,71,"1109 South La Brea Ave, Los Angeles, CA",34.054634,-118.34399599999999,1.914935010389727,49,512,-0.27290515916284985,29.0,0.4138225255972696,95707.0,5494,691,1477,2767,559
43,43,AUI-10272,61,"7614 N Louise Ave, Los Angeles, CA",34.2088705,-118.5096412,2.7839990449582435,27,469,-0.6718182125058576,37.0,1.1561144839549002,68553.0,3372,761,682,1394,535
44,44,AUI-10260,35,"9866 N De Soto Ave, Los Angeles, CA",34.249545,-118.5883922,1.3736632785215643,26,556,-0.4087095810901445,29.0,0.9339320076972418,83971.0,4307,889,768,1826,824
45,45,AUI-10258,20,"11118 S Main St, Los Angeles, CA",33.93414600000001,-118.2737655,1.333340257363653,26,35,0.577653087530587,33.0,0.930662557781202,43182.0,3269,964,1097,967,241
46,46,AUI-10222,13,"3840 S Western Ave, Los Angeles, CA",34.016127000000004,-118.30875690000002,1.8904321842250391,28,52,0.9672183390850408,36.0,0.5108502312344362,46767.0,5444,1011,1574,2375,484
47,47,AUI-10209,39,"11730 National Blvd, Los Angeles, CA",34.02189370000001,-118.4394675,1.613783640247963,28,876,-0.6801385183148879,27.0,0.3283365570599613,94330.0,3192,683,491,1293,725
48,48,AUI-10210,77,"11667 W Santa Monica Blvd, Los Angeles, CA",34.044140999999996,-118.45542900000001,1.3220986588349188,60,836,-0.41848338864588797,23.0,0.15417428397318708,79531.0,6489,876,3225,1890,498
49,49,AUI-10213,81,"10478 W Wilshire Blvd, Los Angeles, CA",34.0647503,-118.4310256,2.6387387436898067,19,823,-0.13545418108149193,24.0,0.16342308717675286,80685.0,4866,744,855,1950,1317
50,50,AUI-10211,67,"8334 Lincoln Blvd, Los Angeles, CA",33.9618772,-118.42080790000001,2.159787836011063,39,268,-0.3139732620950295,16.0,0.7008032128514057,88500.0,5570,345,4136,817,272
51,51,AUI-10221,13,"12159 W Olympic Blvd, Los Angeles, CA",34.032711,-118.45502309999999,1.2355829905297593,41,876,-0.2269326466996304,25.0,0.5138416707139388,76250.0,2929,413,767,1285,464
52,52,AUI-10217,135,"6646 W Sunset Blvd, Los Angeles, CA",34.0978525,-118.3348393,1.099057980761517,121,221,0.7202629706033878,29.0,0.007514088916718849,37300.0,2841,234,1092,1058,457
53,53,AUI-10208,242,"12237 W Santa Monica Blvd, Los Angeles, CA",34.04001179999999,-118.46559340000002,1.4316379821767091,58,836,-0.18617374086861446,26.0,0.27626774847870184,74748.0,4941,362,2502,1651,426
54,54,AUI-10271,21,"11816 W Major St, Los Angeles, CA",33.984934,-118.40025770000001,1.3902744663637612,47,516,-0.6579395693054257,30.0,0.6680208937899014,79313.0,2710,466,531,1226,487
55,55,AUI-10252,60,"11677 San Vicente Blvd, Los Angeles, CA",34.054247100000005,-118.46513970000001,1.260714534040788,63,1600,0.5639856442316036,26.0,0.020579268292682928,100160.0,2708,284,926,1087,411
56,56,AUI-10250,6,"8624 S Wilton Pl, Los Angeles, CA",33.9591244,-118.314752,2.3793844517582605,26,130,0.9004643733281146,30.0,0.5211102423768569,51420.0,4801,1078,893,1748,1082
57,57,AUI-10246,46,"1516 N North Spring St, Los Angeles, CA",34.06782860000001,-118.23056329999999,1.6093304398318509,63,1016,1.265594417263398,32.0,0.555210643015521,38734.0,3943,846,911,1521,665
58,58,AUI-10220,23,"616 W Washington Blvd, Los Angeles, CA",34.0347482,-118.2737356,0.7036071838941607,50,224,0.8416320273321998,34.0,0.042238648363252376,26493.0,2476,565,850,966,95
59,59,AUI-10243,3,"13076 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,2.7052017342161454,33,704,0.8919442752393832,33.0,0.3154499151103565,40665.0,5005,1009,1377,2091,528
60,60,AUI-10204,150,"2843 S Flower St, Los Angeles, CA",34.0262014,-118.2760072,1.2986327878200463,62,151,2.052654847241659,18.0,0.28955696202531644,10802.0,6456,61,6175,205,15
61,61,AUI-10200,207,"182 S Alameda St, Los Angeles, CA",34.047486,-118.23789679999999,1.4570680900623056,122,1016,-0.8536082280395552,29.0,0.1698677974557246,90590.0,3788,227,1892,1480,189
62,62,AUI-10227,49,"19135 W Victory Blvd, Los Angeles, CA",34.186682,-118.54996499999999,1.7559755524187362,18,435,-0.537881267169334,34.0,0.4957772912105098,51417.0,5578,1056,1246,2126,1150
63,63,AUI-10235,102,"12387 W Osborne St, Los Angeles, CA",34.2609217,-118.4031581,2.0277602427091344,22,229,0.5215081807051171,33.0,1.102642901044868,48581.0,4331,1261,1152,1549,369
64,64,AUI-10206,108,"6765 W Foothill Blvd, Los Angeles, CA",34.2479199,-118.2792176,1.7193421709308891,26,290,-0.13476839107873534,30.0,0.4241851676901275,41728.0,3497,726,764,1434,573
65,65,AUI-10266,25,"12518 W Oxnard St, Los Angeles, CA",34.180236,-118.5055565,2.007965032849885,6,598,-1.5011055546267231,29.0,1.5315315315315314,124038.0,264,74,47,112,31
66,66,AUI-10264,45,"12728 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,2.7052017342161454,33,704,0.8919442752393832,33.0,0.3154499151103565,40665.0,5005,1009,1377,2091,528
67,67,AUI-10229,121,"15596 W Roxford St, Los Angeles, CA",34.3116785,-118.47127240000002,1.7020461485417018,12,0,-0.8361951370590566,37.0,0.9611111111111112,91983.0,5347,1477,923,2431,516
68,68,AUI-10247,25,"13194 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,2.7052017342161454,33,704,0.8919442752393832,33.0,0.3154499151103565,40665.0,5005,1009,1377,2091,528
69,69,AUI-10251,96,"1348 Abbot Kinney Blvd, Los Angeles, CA",33.990557,-118.46648229999998,1.0573033125432274,63,877,0.2050678044182633,31.0,0.17252173913043478,83304.0,2892,250,991,1385,266
70,70,AUI-10267,12,"13629 W Sherman Way, Los Angeles, CA",34.2019429,-118.45124990000001,1.8420144574442965,33,532,0.8919442752393832,33.0,0.3154499151103565,40665.0,5005,1009,1377,2091,528
71,71,AUI-10249,126,"3773 Motor Ave, Los Angeles, CA",34.02090310000001,-118.40455790000001,1.508422013164556,68,712,0.17059053417553974,27.0,0.2174977057204038,59757.0,3596,358,1743,1281,214
72,72,AUI-10236,18,"840 Imperial Hwy, Los Angeles, CA",33.9308114,-118.29072420000001,1.357509435381717,18,130,1.3547828404168265,37.0,0.6640816326530612,40596.0,5436,1697,1321,1899,519
73,73,AUI-10233,111,"4121 Valley Blvd, Los Angeles, CA",34.06483,-118.194347,1.587543082946491,30,283,0.1366635032630607,33.0,1.2251867662753468,56698.0,5149,1090,1209,1759,1091
74,74,AUI-10231,70,"1862 Robertson Blvd, Los Angeles, CA",34.0452966,-118.3865051,2.8305021300596587,29,495,-0.96317497384883,24.0,0.6488651535380507,168224.0,3929,1203,431,1651,644
75,75,AUI-10238,12,"8931 Venice Blvd, Los Angeles, CA",34.0288024,-118.3898835,2.008304834776426,66,712,-0.6441939144680285,25.0,0.21925925925925926,66071.0,4583,493,1937,1803,350
76,76,AUI-10289,71,"4940 Paso Robles Ave, Los Angeles, CA",34.160959399999996,-118.50185929999999,1.6060211398586002,59,598,-0.21685336307918915,36.0,0.4140256237356709,79023.0,4803,961,897,2012,933
77,77,AUI-10285,12,"10928 W Pico Blvd, Los Angeles, CA",34.03898820000001,-118.4303435,1.490009621744329,48,876,-0.4460177468933856,22.0,0.17993920972644378,73049.0,2680,568,390,1221,501
78,78,AUI-10291,18,"4647 Marmion Way, Los Angeles, CA",34.099644399999995,-118.2054051,2.2252847408522785,34,543,0.008000886339455247,35.0,0.8802568218298555,101103.0,6677,991,2061,2786,839
79,79,AUI-10293,19,"7224 Valjean Ave, Los Angeles, CA",34.2019408,-118.4857003,1.5179752465426544,21,469,0.057101535699511735,29.0,0.6130622304374614,48193.0,6673,1797,1709,2811,356
80,80,AUI-10280,28,"16501 Otsego St, Los Angeles, CA",34.162938200000006,-118.4926688,1.7089480432571271,57,901,-1.11512109762523,34.0,0.9671266233766234,144337.0,5336,990,1014,2166,1166
81,81,AUI-10277,36,"4424 Wesley Ave., Los Angeles, CA",34.0029364,-118.2876652,1.288002764161092,34,62,1.0203571970413574,37.0,0.3363994743758213,32266.0,2890,791,798,1094,207
82,82,AUI-10279,15,"18235 South Figueroa St, Los Angeles, CA",33.8654075,-118.2819881,3.5527576690894844,10,259,-1.072547828503879,31.0,1.0729646697388633,79034.0,2873,441,640,1130,662
83,83,AUI-10284,14,"15321 S Figueroa St, Los Angeles, CA",33.892170899999996,-118.28323300000001,2.700534301898286,21,259,0.5289360488229312,26.0,0.626465661641541,54297.0,5488,1386,1233,2147,722
84,84,AUI-10283,49,"18401 Burbank Blvd, Los Angeles, CA",34.1720633,-118.5337705,1.2812318381702472,51,643,-0.4558990901289856,34.0,0.16292848074481592,63048.0,2795,470,566,1248,511
85,85,AUI-10286,32,"7245 Canoga Ave, Los Angeles, CA",34.202333,-118.59786100000001,0.900760772312235,36,126,0.8556316318391715,30.0,0.2846832397754611,37003.0,4305,1248,1202,1534,321
86,86,AUI-10326,19,"5962 San Vicente Blvd, Los Angeles, CA",34.056798799999996,-118.36155790000001,2.1020419688983782,58,512,0.026990705669688503,27.0,0.1283684468397844,69968.0,5100,560,1059,2764,717
87,87,AUI-10315,5,"14901 Rinaldi street, Los Angeles, CA",34.2793651,-118.45746000000001,1.7934604826775795,24,100,-0.3109107531128028,28.0,1.3199588477366255,59792.0,2738,524,553,935,726
88,88,AUI-10282,31,"10455 W Magnolia Blvd, Los Angeles, CA",34.1651823,-118.3590241,1.4062057470720721,43,366,0.30520341796600764,28.0,0.3247696174253002,53022.0,4761,740,1695,1902,424
89,89,AUI-10308,186,"3117 Temple St., Los Angeles, CA",34.075306,-118.28076899999999,2.0438043146624585,42,501,-0.02596569494801809,32.0,0.5265405735204393,58981.0,2817,474,917,1057,369
90,90,AUI-10314,30,"20124 Sherman Way, Los Angeles, CA",34.200408,-118.5718745,2.267881905781904,31,4,-0.7190652338073544,34.0,1.2710997442455243,80109.0,6473,1283,1586,2820,784
91,91,AUI-10309,37,"8245 Winnetka Ave, Los Angeles, CA",34.2198591,-118.5713659,2.2057571767201374,19,301,-0.4327925636292579,30.0,0.8007747648035418,76250.0,4543,914,876,2038,715
92,92,AUI-10288,28,"1747 S Barrington Ave, Los Angeles, CA",34.04013,-118.45341029999999,1.2790964095801605,50,836,-0.41848338864588797,23.0,0.15417428397318708,79531.0,6489,876,3225,1890,498
93,93,AUI-10298,3,"10416 Irene St, Los Angeles, CA",34.029833700000005,-118.4116094,1.4191182859653548,37,712,-0.18333397210273955,24.0,0.02044989775051125,68865.0,4039,479,1647,1669,244
94,94,AUI-10302,84,"722 Alameda St, Los Angeles, CA",34.032807899999995,-118.23836299999999,13.992834762231825,80,79,-0.8536082280395552,29.0,0.1698677974557246,90590.0,3788,227,1892,1480,189
95,95,AUI-10287,95,"2900 S Sepulveda Blvd, Los Angeles, CA",34.028657700000004,-118.4290429,1.2925486282034384,26,876,-0.33943096658366073,26.0,0.18206278026905828,61063.0,3999,795,1792,1137,275
96,96,AUI-10321,53,"6510 Forest Lawn Drive, Los Angeles, CA",34.1463664,-118.33349309999998,1.4610510939801111,36,97,-0.3995853256248037,32.0,0.3417235494880546,91451.0,3200,458,754,1530,458
97,97,AUI-10322,24,"11320 Laurel Canyon Blvd, Los Angeles, CA",34.2760489,-118.4498162,2.250430818099208,29,114,-0.35597732884689004,27.0,1.0454237288135593,44118.0,4821,1447,1280,1341,753
98,98,AUI-10317,18,"8309 Louise Ave, Los Angeles, CA",34.221544,-118.5102314,3.996614179837621,23,458,-0.6110583426372481,31.0,0.6174794173527549,61483.0,6219,1597,1358,2647,617
99,99,AUI-10310,2,"7537 Balboa Blvd, Los Angeles, CA",34.207544,-118.50128799999999,2.1500060034103607,29,469,-0.29484891846691164,30.0,0.965742251223491,75255.0,4824,953,1169,2185,517
100,100,AUI-10313,23,"18099 Rinaldi street, Los Angeles, CA",34.278644799999995,-118.52741940000001,1.4517765009922001,4,827,-1.5053941694703683,35.0,1.4207369323050556,159643.0,3153,523,459,1377,794
101,101,AUI-10312,40,"21900 Plummer St, Los Angeles, CA",34.242412200000004,-118.60422109999999,1.0113106121065203,27,556,-0.13808909592146046,36.0,0.878419452887538,82821.0,4145,831,714,1674,926
102,102,AUI-10307,12,"10567 Mason Ave, Los Angeles, CA",34.261771,-118.5798527,1.9753361956240671,34,556,-0.7174313498704399,34.0,1.3874074074074074,105781.0,3699,613,718,1529,839
103,103,AUI-10387,8,"5350 San Vicente Blvd, Los Angeles, CA",34.0525027,-118.3512399,2.354567629764744,36,512,-0.3331028927439653,30.0,0.2329766536964981,64298.0,6326,1075,1685,2904,662
104,104,AUI-10294,33,"1143 S Beverly Dr, Los Angeles, CA",34.0565394,-118.39647820000002,1.3175691711629178,43,495,-0.3012923410869374,22.0,0.17014547754585704,86039.0,4067,892,991,1462,722
105,105,AUI-10292,12,"664 S Central Ave, Los Angeles, CA",34.0372306,-118.24055729999999,1.3046871049879785,103,79,2.512186714999324,39.0,0.04512672573665773,10294.0,5702,95,622,4312,673
106,106,AUI-10295,57,"5931 W 18th St, Los Angeles, CA",34.0438008,-118.37153290000002,3.43574240199742,28,495,0.5555245369923483,28.0,0.212485896953742,69750.0,3882,606,1257,1410,609
107,107,AUI-10296,58,"6299 W 87th St, Los Angeles, CA",33.9585605,-118.3947537,2.1154535844569597,35,818,-0.2406460141811469,26.0,0.8276923076923077,98523.0,2493,477,563,1163,290
108,108,AUI-10290,45,"1398 S Orange Grove Ave, Los Angeles, CA",34.05147410000001,-118.3655228,4.022374488800914,28,512,0.026990705669688503,27.0,0.1283684468397844,69968.0,5100,560,1059,2764,717
109,109,AUI-10318,17,"2442 Marengo St, Los Angeles, CA",34.0539241,-118.20177,1.7401164340016249,26,64,0.2936620612342583,32.0,0.4879963065558634,46699.0,5168,1463,1413,1816,476
110,110,AUI-10319,10,"10108 Mason Avenue, Los Angeles, CA",34.254166999999995,-118.57971200000001,1.8393308844390528,35,556,-0.7572890436699573,33.0,1.0066305003013865,93795.0,4284,653,663,2030,938
111,111,AUI-10316,11,"3022 S Grand Ave, Los Angeles, CA",34.0226929,-118.274234,1.3624408635231158,57,151,1.120469412152214,32.0,0.2954091816367265,40600.0,3323,886,980,1074,383
112,112,AUI-10281,8,"3000 W Slauson Ave, Los Angeles, CA",33.988735299999995,-118.3256819,2.8515902295122584,31,244,0.28324760033398105,44.0,0.4091304347826087,38776.0,3482,717,675,1592,498
113,113,AUI-10324,19,"11009 S Figueroa St, Los Angeles, CA",33.935441600000004,-118.28295690000002,1.2956723734747206,24,89,1.3547828404168265,37.0,0.6640816326530612,40596.0,5436,1697,1321,1899,519
114,114,AUI-10323,11,"1033 W Pacific Coast Hwy, Los Angeles, CA",33.7906825,-118.2762558,1.3578733261270344,25,109,-1.23128092961453,23.0,1.157239819004525,65897.0,2539,578,596,969,396
115,115,AUI-10311,101,"5160 Vineland Avenue, Los Angeles, CA",34.1641232,-118.36961550000001,5.510189462338861,59,366,0.2259276502635271,33.0,0.2662860980523841,47227.0,3127,349,1290,1308,180
116,116,AUI-10299,20,"11410 Burbank Blvd, Los Angeles, CA",34.17184829999999,-118.3797377,1.7777486279813923,48,366,0.6914851015201463,33.0,0.22252217508677208,64219.0,3623,708,817,1794,304
117,117,AUI-10320,28,"21365 Erwin St, Los Angeles, CA",34.182930999999996,-118.59696000000001,1.2366033639533691,58,766,0.248015194038894,31.0,0.14021967749474176,79985.0,4354,341,1782,1787,444
