Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="6fdb2586-f1ca-4d9d-a2c5-57fe52e66fd2",="AUI-10366","7","13:31","0.00","USD","91.231",="FLO | EVC399 | SLID 144296 | 1248 Westwood Blvd"
="02e6a805-4af7-4936-ab79-31e34e0d4acc",="AUI-10336","80","207:57","0.00","USD","851.722",="FLO | EVC402 | SLID 142793 | 4839 Laurel Canyon Blvd"
="5b66ccf4-cd99-4d55-b343-ea09de66db58",="AUI-10376","2","0:02","0.00","USD","0.145",="FLO | EVC403 | SLID 134480 | 7428 S Sepulveda Blvd"
="c4b4ec9f-ea56-4d06-9947-b1f4479e5882",="AUI-10382","21","74:31","0.00","USD","191.764",="FLO | EVC407 | SLID 226744 | 10654 W Magnolia Blvd"
="0d98c095-73ea-4108-8c83-30a4070f88d3",="AUI-10364","5","0:44","0.00","USD","2.715",="FLO | EVC409 | SLID 186635 | 6040 Jefferson Blvd"
="c181bab1-fbcd-462c-9288-f5be33b9c4b6",="AUI-10389","15","106:14","0.00","USD","136.281",="FLO | EVC412 | SLID 85210 | 5263 Packard"
="ce30104d-d7e1-4751-995d-7d394e8ca36c",="AUI-10388","8","3:40","0.00","USD","15.432",="FLO | EVC414 | SLID 194495 | 9818 Reseda Blvd"
="f99dc466-b30e-4b3f-a650-f31a223a2123",="AUI-10363","4","2:25","0.00","USD","15.956",="FLO | EVC415 | SLID 40981 | 8800 S Hoover St"
="6ad7a735-6046-4d92-a459-e959e7f94ba6",="AUI-10390","29","202:50","0.00","USD","577.583",="FLO | EVC416 | SLID 167839 | 9889 Beachy Ave"
="c3064fda-5e05-4cc3-affb-253ec01bde47",="AUI-10385","4","3:42","0.00","USD","16.754",="FLO | EVC417 | SLID 196230 | 10645 Glenoaks Blvd"
="53fe5b6e-187c-4a08-afa0-f29fa9ad567b",="AUI-10377","14","18:20","0.00","USD","73.022",="FLO | EVC418 | SLID 199480 | 2044 Reservoir St"
="923d1f1b-7ca2-479e-94df-7ea1ed8c3357",="AUI-10352","12","9:35","0.00","USD","59.852",="FLO | EVC419 | SLID 146168 | 7178 Tujunga Ave"
="f849f304-a518-49f8-8c14-15bd976eba92",="AUI-10383","81","248:49","0.00","USD","899.057",="FLO | EVC420 | SLID 217034 | 11169 Weddington St"
="b9293ccb-0286-42e6-b510-210f6501f130",="AUI-10367","4","1:29","0.00","USD","10.168",="FLO | EVC421 | SLID 148103 | 5441 E Valley Blvd"
="467a73a0-d5d2-4817-82b2-0e6c36a05d52",="AUI-10365","4","1:09","0.00","USD","8.341",="FLO | EVC422 | SLID 112855 | 8935 Mason Ave"
="bbd7e8c1-7cd3-461e-91ef-4d083b686b1c",="AUI-10379","48","275:09","0.00","USD","591.758",="FLO | EVC423 | SLID 211243 | 10949 Huston St"
="e270de4e-9443-46e0-928a-11f15072b270",="AUI-10391","6","5:18","0.00","USD","17.921",="FLO | EVC427 | SLID 94004 | 10517 San Fernando Rd"
="adbeef49-b67d-4886-844c-dc3512b221b2",="AUI-10381","15","49:25","0.00","USD","161.906",="FLO | EVC428 | SLID 102290 | 11185 Hindry Ave"
="0cb6a4bf-a85c-4f2c-82a0-4013315c6bb4",="AUI-10357","3","2:19","0.00","USD","15.235",="FLO | EVC431 | SLID 162558 | 10634 Valparaiso St"
="70c193d1-573c-49af-a7b1-e82e5c135f1e",="AUI-10340","30","167:36","0.00","USD","739.563",="FLO | EVC432 | SLID 81407 | 4240 Fulton Ave"
="100a18bd-3ec2-4459-a070-3ae67d721c0e",="AUI-10344","12","90:47","0.00","USD","208.536",="FLO | EVC433 | SLID 100239 | 4236 Longridge Ave"
="49fccb1c-b38c-4858-beba-b780b92989e8",="AUI-10384","20","50:07","0.00","USD","155.939",="FLO | EVC435 | SLID 234757 | 7123 Tampa Ave"
="485c5ece-1d9f-4529-aa32-461c60aa11dc",="AUI-10358","15","52:03","0.00","USD","127.04",="FLO | EVC436 | SLID 84802 | 13214 Moorpark St"
="1f1c398b-b0a2-4650-a585-47b063a6306e",="AUI-10361","14","24:06","0.00","USD","155.627",="FLO | EVC437 | SLID 198082 | 11048 Huston St"
="6e7f1dbe-01a7-402a-ae91-e0d4d1ae19c3",="AUI-10362","8","9:17","0.00","USD","58.476",="FLO | EVC440 | SLID 167287 | 998 S Hobart Blvd"
="33dc83e3-235b-418f-854e-a1c0d5cdc8f5",="AUI-10359","2","0:03","0.00","USD","0.307",="FLO | EVC453 | SLID 35218 | 10919 S Figueroa St"
="383393b8-6b6e-454a-88a0-832c8fcd9a1d",="AUI-10261","136","213:23","12.37","USD","1049.059",="FLO | EVC90 | SLID 50140 | 729 N North Spring St"
