Station ID,Station,Total Sessions,Total Connection Time,Total Amount,Currency,Total kWh,Park
="986921ed-b5c4-4f6b-a057-cdab8ea6ca37",="AUI-10234","59","101:36","189.17","USD","328.317",="FLO | EVC233 | SLID 170960 | 3145 S Vermont Ave"
="f7d94e60-962d-4230-9b3b-2fd2d3b0b3c3",="AUI-10240","107","206:19","264.46","USD","742.586",="FLO | EVC234 | SLID 71853 | 3540 W 3rd St"
="1c4d18f4-b181-45d5-8458-920ebf247922",="AUI-10239","143","243:50","404.40","USD","1278.258",="FLO | EVC236 | SLID 157284 | 19054 N Kittridge St"
="fefec134-44a5-4e4c-9c19-d3ff236f28a0",="AUI-10225","43","75:51","47.00","USD","367.331",="FLO | EVC238 | SLID 180982 | 23385 W Burbank Blvd"
="f249ced2-842e-407c-8ddc-c46ef05760b4",="AUI-10223","9","175:42","4.34","USD","63.564",="FLO | EVC239 | SLID 226546 | 18401-18435 Kittridge St"
="01f803e3-6a43-44ab-8042-cf7700a4500f",="AUI-10203","29","48:48","91.64","USD","235.361",="FLO | EVC240 | SLID 94216 | 6813 N Hayvenhurst Ave"
="12545c23-19cb-49d4-9387-303cfed62673",="AUI-10202","12","17:23","27.07","USD","56.279",="FLO | EVC241 | SLID 146945 | 6013 W Cadillac Ave"
="cabccd91-250c-4eab-9a0c-e077023fa7cd",="AUI-10253","116","564:03","213.56","USD","729.65",="FLO | EVC242 | SLID 93454 | 587 S Hobart Blvd"
="e0415b60-7994-441e-b59e-4ad8ab6b2416",="AUI-10215","107","283:28","154.69","USD","1086.834",="FLO | EVC246 | SLID 93913 | 609 W Alpine St"
="15159d5d-ce09-4e9b-8f93-d1f5c50a7fd1",="AUI-10219","138","611:40","748.21","USD","1810.076",="FLO | EVC249 | SLID 97438 | 6438 N Fulton Ave"
="db61a05d-3cb1-4caa-90a8-a47d36b35155",="AUI-10242","71","306:51","95.27","USD","1401.968",="FLO | EVC251 | SLID 133276 | 1109 South La Brea Ave"
="10afff36-2562-4576-98ce-12ba3bffaefd",="AUI-10272","61","144:28","221.90","USD","765.377",="FLO | EVC252 | SLID 224033 | 7614 N Louise Ave"
="e7345958-150b-4d7a-bf52-74f09c93bc57",="AUI-10260","35","60:03","83.36","USD","383.122",="FLO | EVC253 | SLID 146508 | 9866 N De Soto Ave"
="2b744d81-8826-4d11-a8b4-8ab2ea78a11a",="AUI-10258","20","48:52","21.92","USD","162.301",="FLO | EVC254 | SLID 34194 | 11118 S Main St"
="43e0b4a8-5c5a-4287-9490-1f2daee13185",="AUI-10222","13","16:56","33.95","USD","97.768",="FLO | EVC256 | SLID 33259 | 3840 S Western Ave"
="4af2f21b-4b34-4031-8bec-16919690ee9b",="AUI-10209","39","95:12","170.65","USD","355.88",="FLO | EVC258 | SLID 143405 | 11730 National Blvd"
