,Station,Total Sessions,Address,Latitude,Longitude,num_pois_nearby
64,AUI-10206,108,"6765 W Foothill Blvd, Los Angeles, CA",34.2479199,-118.2792176,26
65,AUI-10266,25,"12518 W Oxnard St, Los Angeles, CA",34.180236,-118.5055565,6
66,AUI-10264,45,"12728 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,33
67,AUI-10229,121,"15596 W Roxford St, Los Angeles, CA",34.3116785,-118.47127240000002,12
68,AUI-10247,25,"13194 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,33
69,AUI-10251,96,"1348 Abbot Kinney Blvd, Los Angeles, CA",33.990557,-118.46648229999998,63
70,AUI-10267,12,"13629 W Sherman Way, Los Angeles, CA",34.2019429,-118.4512499,33
71,AUI-10249,126,"3773 Motor Ave, Los Angeles, CA",34.02090310000001,-118.4045579,67
72,AUI-10236,18,"840 Imperial Hwy, Los Angeles, CA",33.9308114,-118.2907242,19
73,AUI-10233,111,"4121 Valley Blvd, Los Angeles, CA",34.06483,-118.194347,30
74,AUI-10231,70,"1862 Robertson Blvd, Los Angeles, CA",34.0452966,-118.3865051,29
75,AUI-10238,12,"8931 Venice Blvd, Los Angeles, CA",34.0288024,-118.3898835,66
76,AUI-10289,71,"4940 Paso Robles Ave, Los Angeles, CA",34.1609594,-118.5018593,59
77,AUI-10285,12,"10928 W Pico Blvd, Los Angeles, CA",34.03898820000001,-118.4303435,48
78,AUI-10291,18,"4647 Marmion Way, Los Angeles, CA",34.099644399999995,-118.2054051,34
79,AUI-10293,19,"7224 Valjean Ave, Los Angeles, CA",34.2019408,-118.4857003,21
80,AUI-10280,28,"16501 Otsego St, Los Angeles, CA",34.162938200000006,-118.4926688,57
81,AUI-10277,36,"4424 Wesley Ave., Los Angeles, CA",34.0029364,-118.2876652,34
82,AUI-10279,15,"18235 South Figueroa St, Los Angeles, CA",33.8654075,-118.2819881,10
83,AUI-10284,14,"15321 S Figueroa St, Los Angeles, CA",33.8921709,-118.283233,21
84,AUI-10283,49,"18401 Burbank Blvd, Los Angeles, CA",34.1720633,-118.5337705,51
85,AUI-10286,32,"7245 Canoga Ave, Los Angeles, CA",34.202333,-118.597861,36
86,AUI-10326,19,"5962 San Vicente Blvd, Los Angeles, CA",34.0567988,-118.3615579,58
87,AUI-10315,5,"14901 Rinaldi street, Los Angeles, CA",34.2793651,-118.45746,24
88,AUI-10282,31,"10455 W Magnolia Blvd, Los Angeles, CA",34.1651823,-118.3590241,43
89,AUI-10308,186,"3117 Temple St., Los Angeles, CA",34.075306,-118.280769,42
90,AUI-10314,30,"20124 Sherman Way, Los Angeles, CA",34.200408,-118.5718745,31
91,AUI-10309,37,"8245 Winnetka Ave, Los Angeles, CA",34.2198591,-118.5713659,18
92,AUI-10288,28,"1747 S Barrington Ave, Los Angeles, CA",34.04013,-118.4534103,50
93,AUI-10298,3,"10416 Irene St, Los Angeles, CA",34.029833700000005,-118.4116094,37
94,AUI-10302,84,"722 Alameda St, Los Angeles, CA",34.032807899999995,-118.238363,80
95,AUI-10287,95,"2900 S Sepulveda Blvd, Los Angeles, CA",34.028657700000004,-118.4290429,26
96,AUI-10321,53,"6510 Forest Lawn Drive, Los Angeles, CA",34.1463664,-118.33349309999998,36
97,AUI-10322,24,"11320 Laurel Canyon Blvd, Los Angeles, CA",34.2760489,-118.4498162,29
98,AUI-10317,18,"8309 Louise Ave, Los Angeles, CA",34.221544,-118.5102314,23
99,AUI-10310,2,"7537 Balboa Blvd, Los Angeles, CA",34.207544,-118.501288,29
