,Station,Total Sessions,Address,Latitude,Longitude
96,AUI-10321,53,"6510 Forest Lawn Drive, Los Angeles, CA",34.1463664,-118.3334931
97,AUI-10322,24,"11320 Laurel Canyon Blvd, Los Angeles, CA",34.2760489,-118.4498162
98,AUI-10317,18,"8309 Louise Ave, Los Angeles, CA",34.221544,-118.5102314
99,AUI-10310,2,"7537 Balboa Blvd, Los Angeles, CA",34.207544,-118.501288
100,AUI-10313,23,"18099 Rinaldi street, Los Angeles, CA",34.2786448,-118.5274194
101,AUI-10312,40,"21900 Plummer St, Los Angeles, CA",34.2424122,-118.6042211
102,AUI-10307,12,"10567 Mason Ave, Los Angeles, CA",34.261771,-118.5798527
103,AUI-10387,8,"5350 San Vicente Blvd, Los Angeles, CA",34.0525027,-118.3512399
104,AUI-10294,33,"1143 S Beverly Dr, Los Angeles, CA",34.0565394,-118.3964782
105,AUI-10292,12,"664 S Central Ave, Los Angeles, CA",34.0372306,-118.2405573
106,AUI-10295,57,"5931 W 18th St, Los Angeles, CA",34.0438008,-118.3715329
107,AUI-10296,58,"6299 W 87th St, Los Angeles, CA",33.9585605,-118.3947537
108,AUI-10290,45,"1398 S Orange Grove Ave, Los Angeles, CA",34.0514741,-118.3655228
109,AUI-10318,17,"2442 Marengo St, Los Angeles, CA",34.0539241,-118.20177
110,AUI-10319,10,"10108 Mason Avenue, Los Angeles, CA",34.254167,-118.579712
111,AUI-10316,11,"3022 S Grand Ave, Los Angeles, CA",34.0226929,-118.274234
112,AUI-10281,8,"3000 W Slauson Ave, Los Angeles, CA",33.9887353,-118.3256819
113,AUI-10324,19,"11009 S Figueroa St, Los Angeles, CA",33.9354416,-118.2829569
114,AUI-10323,11,"1033 W Pacific Coast Hwy, Los Angeles, CA",33.7906825,-118.2762558
115,AUI-10311,101,"5160 Vineland Avenue, Los Angeles, CA",34.1641232,-118.3696155
116,AUI-10299,20,"11410 Burbank Blvd, Los Angeles, CA",34.1718483,-118.3797377
117,AUI-10320,28,"21365 Erwin St, Los Angeles, CA",34.182931,-118.59696
118,AUI-10325,12,"8201 Tampa Avenue, Los Angeles, CA",34.219355,-118.553673
119,AUI-10306,50,"6007 Variel Ave, Los Angeles, CA",34.1799432,-118.5933178
120,AUI-10356,30,"7647 Canoga Avenue, Los Angeles, CA",34.209773,-118.5984299
121,AUI-10338,15,"3845 Selig Pl, Los Angeles, CA",34.0685547,-118.1989767
122,AUI-10348,35,"10215 Palms Blvd, Los Angeles, CA",34.0272776,-118.4069342
123,AUI-10342,3,"9418 National Blvd, Los Angeles, CA",34.0310983,-118.396575
124,AUI-10297,18,"13308 Paxton St, Los Angeles, CA",34.276106,-118.422684
125,AUI-10303,46,"1499 Gordon St, Los Angeles, CA",34.097803,-118.320168
126,AUI-10305,23,"3211 Beverly Blvd, Los Angeles, CA",34.072617,-118.283315
127,AUI-10300,58,"3215 Beverly Blvd, Los Angeles, CA",34.072713,-118.283534
128,AUI-10301,5,"256 S Lafayette Park Pl, Los Angeles, CA",34.0675494,-118.2796614
129,AUI-10327,2,"948 E Vernon Ave, Los Angeles, CA",34.0037883,-118.2591613
130,AUI-10332,97,"923 E 3rd St, Los Angeles, CA",34.0463078,-118.2341624
131,AUI-10350,65,"9850 Exposition Blvd, Los Angeles, CA",34.0288099,-118.4027129
132,AUI-10346,5,"1757 S Robertson Blvd, Los Angeles, CA",34.0476983,-118.3860416
133,AUI-10360,12,"2411 N Thomas Street, Los Angeles, CA",34.0740651,-118.2053002
134,AUI-10334,26,"176 S Virgil Ave, Los Angeles, CA",34.0712476,-118.28635
135,AUI-10304,16,"3619 Regal Pl, Los Angeles, CA",34.13395,-118.3632699
136,AUI-10370,14,"18744 Parthenia St, Los Angeles, CA",34.2278025,-118.5420773
137,AUI-10343,27,"21021 Devonshire St, Los Angeles, CA",34.2574949,-118.5916991
