,Unnamed: 0,Station,Total Sessions,Address,Latitude,Longitude,Distance To Freeway (in miles)
53,53,AUI-10208,242,"12237 W Santa Monica Blvd, Los Angeles, CA",34.04001179999999,-118.46559340000002,1.4316379821767091
54,54,AUI-10271,21,"11816 W Major St, Los Angeles, CA",33.984934,-118.40025770000001,1.390274466363761
55,55,AUI-10252,60,"11677 San Vicente Blvd, Los Angeles, CA",34.054247100000005,-118.46513970000001,1.260714534040788
56,56,AUI-10250,6,"8624 S Wilton Pl, Los Angeles, CA",33.9591244,-118.314752,2.379384451758261
57,57,AUI-10246,46,"1516 N North Spring St, Los Angeles, CA",34.067828600000006,-118.23056329999999,1.609330439831851
58,58,AUI-10220,23,"616 W Washington Blvd, Los Angeles, CA",34.0347482,-118.2737356,0.7036071838941607
59,59,AUI-10243,3,"13076 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,2.7052017342161454
60,60,AUI-10204,150,"2843 S Flower St, Los Angeles, CA",34.0262014,-118.2760072,1.2986327878200465
61,61,AUI-10200,207,"182 S Alameda St, Los Angeles, CA",34.047486,-118.23789679999999,1.4570680900623056
62,62,AUI-10227,49,"19135 W Victory Blvd, Los Angeles, CA",34.186682,-118.54996499999999,1.7559755524187362
63,63,AUI-10235,102,"12387 W Osborne St, Los Angeles, CA",34.2609217,-118.4031581,2.0277602427091344
64,64,AUI-10206,108,"6765 W Foothill Blvd, Los Angeles, CA",34.2479199,-118.2792176,1.719342170930889
65,65,AUI-10266,25,"12518 W Oxnard St, Los Angeles, CA",34.180236,-118.5055565,2.007965032849885
66,66,AUI-10264,45,"12728 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,2.7052017342161454
67,67,AUI-10229,121,"15596 W Roxford St, Los Angeles, CA",34.3116785,-118.47127240000002,1.7020461485417018
68,68,AUI-10247,25,"13194 W Sherman Way, Los Angeles, CA",34.2011905,-118.4515324,2.7052017342161454
69,69,AUI-10251,96,"1348 Abbot Kinney Blvd, Los Angeles, CA",33.990557,-118.46648229999998,1.0573033125432274
70,70,AUI-10267,12,"13629 W Sherman Way, Los Angeles, CA",34.2019429,-118.45124990000001,1.8420144574442963
71,71,AUI-10249,126,"3773 Motor Ave, Los Angeles, CA",34.02090310000001,-118.40455790000001,1.508422013164556
72,72,AUI-10236,18,"840 Imperial Hwy, Los Angeles, CA",33.9308114,-118.29072420000001,1.357509435381717
73,73,AUI-10233,111,"4121 Valley Blvd, Los Angeles, CA",34.06483,-118.194347,1.587543082946491
74,74,AUI-10231,70,"1862 Robertson Blvd, Los Angeles, CA",34.0452966,-118.3865051,2.8305021300596587
75,75,AUI-10238,12,"8931 Venice Blvd, Los Angeles, CA",34.0288024,-118.3898835,2.008304834776426
76,76,AUI-10289,71,"4940 Paso Robles Ave, Los Angeles, CA",34.160959399999996,-118.50185929999999,1.6060211398586
77,77,AUI-10285,12,"10928 W Pico Blvd, Los Angeles, CA",34.038988200000006,-118.4303435,1.490009621744329
78,78,AUI-10291,18,"4647 Marmion Way, Los Angeles, CA",34.099644399999995,-118.2054051,2.2252847408522785
79,79,AUI-10293,19,"7224 Valjean Ave, Los Angeles, CA",34.2019408,-118.4857003,1.5179752465426544
80,80,AUI-10280,28,"16501 Otsego St, Los Angeles, CA",34.162938200000006,-118.4926688,1.7089480432571271
81,81,AUI-10277,36,"4424 Wesley Ave., Los Angeles, CA",34.0029364,-118.2876652,1.288002764161092
82,82,AUI-10279,15,"18235 South Figueroa St, Los Angeles, CA",33.8654075,-118.2819881,3.5527576690894844
83,83,AUI-10284,14,"15321 S Figueroa St, Los Angeles, CA",33.892170899999996,-118.28323300000001,2.700534301898286
84,84,AUI-10283,49,"18401 Burbank Blvd, Los Angeles, CA",34.1720633,-118.5337705,1.2812318381702472
85,85,AUI-10286,32,"7245 Canoga Ave, Los Angeles, CA",34.202333,-118.59786100000001,0.900760772312235
86,86,AUI-10326,19,"5962 San Vicente Blvd, Los Angeles, CA",34.056798799999996,-118.36155790000001,2.1020419688983782
87,87,AUI-10315,5,"14901 Rinaldi street, Los Angeles, CA",34.2793651,-118.45746000000001,1.7934604826775797
88,88,AUI-10282,31,"10455 W Magnolia Blvd, Los Angeles, CA",34.1651823,-118.3590241,1.4062057470720721
89,89,AUI-10308,186,"3117 Temple St., Los Angeles, CA",34.075306,-118.28076899999999,2.0438043146624585
90,90,AUI-10314,30,"20124 Sherman Way, Los Angeles, CA",34.200408,-118.5718745,2.2678819057819037
91,91,AUI-10309,37,"8245 Winnetka Ave, Los Angeles, CA",34.2198591,-118.5713659,2.2057571767201374
92,92,AUI-10288,28,"1747 S Barrington Ave, Los Angeles, CA",34.04013,-118.45341029999999,1.2790964095801605
93,93,AUI-10298,3,"10416 Irene St, Los Angeles, CA",34.029833700000005,-118.4116094,1.4191182859653548
94,94,AUI-10302,84,"722 Alameda St, Los Angeles, CA",34.032807899999995,-118.23836299999999,13.992834762231823
95,95,AUI-10287,95,"2900 S Sepulveda Blvd, Los Angeles, CA",34.028657700000004,-118.4290429,1.2925486282034384
96,96,AUI-10321,53,"6510 Forest Lawn Drive, Los Angeles, CA",34.1463664,-118.33349309999998,1.4610510939801113
97,97,AUI-10322,24,"11320 Laurel Canyon Blvd, Los Angeles, CA",34.2760489,-118.4498162,2.250430818099208
98,98,AUI-10317,18,"8309 Louise Ave, Los Angeles, CA",34.221544,-118.5102314,3.9966141798376214
99,99,AUI-10310,2,"7537 Balboa Blvd, Los Angeles, CA",34.207544,-118.50128799999999,2.1500060034103607
100,100,AUI-10313,23,"18099 Rinaldi street, Los Angeles, CA",34.278644799999995,-118.52741940000001,1.4517765009922001
101,101,AUI-10312,40,"21900 Plummer St, Los Angeles, CA",34.242412200000004,-118.60422109999999,1.0113106121065203
102,102,AUI-10307,12,"10567 Mason Ave, Los Angeles, CA",34.261771,-118.5798527,1.9753361956240671
103,103,AUI-10387,8,"5350 San Vicente Blvd, Los Angeles, CA",34.0525027,-118.3512399,2.3545676297647433
104,104,AUI-10294,33,"1143 S Beverly Dr, Los Angeles, CA",34.0565394,-118.39647820000002,1.3175691711629178
105,105,AUI-10292,12,"664 S Central Ave, Los Angeles, CA",34.0372306,-118.24055729999999,1.3046871049879785
106,106,AUI-10295,57,"5931 W 18th St, Los Angeles, CA",34.0438008,-118.37153290000002,3.4357424019974196
107,107,AUI-10296,58,"6299 W 87th St, Los Angeles, CA",33.9585605,-118.3947537,2.1154535844569597
108,108,AUI-10290,45,"1398 S Orange Grove Ave, Los Angeles, CA",34.05147410000001,-118.3655228,4.022374488800914
109,109,AUI-10318,17,"2442 Marengo St, Los Angeles, CA",34.0539241,-118.20177,1.7401164340016249
110,110,AUI-10319,10,"10108 Mason Avenue, Los Angeles, CA",34.254166999999995,-118.57971200000001,1.8393308844390532
111,111,AUI-10316,11,"3022 S Grand Ave, Los Angeles, CA",34.0226929,-118.274234,1.3624408635231158
112,112,AUI-10281,8,"3000 W Slauson Ave, Los Angeles, CA",33.988735299999995,-118.3256819,2.8515902295122584
113,113,AUI-10324,19,"11009 S Figueroa St, Los Angeles, CA",33.935441600000004,-118.28295690000002,1.2956723734747206
114,114,AUI-10323,11,"1033 W Pacific Coast Hwy, Los Angeles, CA",33.7906825,-118.2762558,1.3578733261270344
115,115,AUI-10311,101,"5160 Vineland Avenue, Los Angeles, CA",34.1641232,-118.36961550000001,5.510189462338861
116,116,AUI-10299,20,"11410 Burbank Blvd, Los Angeles, CA",34.17184829999999,-118.3797377,1.7777486279813923
117,117,AUI-10320,28,"21365 Erwin St, Los Angeles, CA",34.182930999999996,-118.59696000000001,1.2366033639533687
118,118,AUI-10325,12,"8201 Tampa Avenue, Los Angeles, CA",34.219355,-118.553673,3.555444096746796
119,119,AUI-10306,50,"6007 Variel Ave, Los Angeles, CA",34.179943200000004,-118.59331780000001,1.4508306914975795
120,120,AUI-10356,30,"7647 Canoga Avenue, Los Angeles, CA",34.209773,-118.59842990000001,1.1499631794669778
121,121,AUI-10338,15,"3845 Selig Pl, Los Angeles, CA",34.0685547,-118.1989767,1.5081887543315076
122,122,AUI-10348,35,"10215 Palms Blvd, Los Angeles, CA",34.0272776,-118.4069342,1.3293802709739977
123,123,AUI-10342,3,"9418 National Blvd, Los Angeles, CA",34.0310983,-118.396575,1.7788720344884263
124,124,AUI-10297,18,"13308 Paxton St, Los Angeles, CA",34.276106,-118.422684,2.7734406404021437
125,125,AUI-10303,46,"1499 Gordon St, Los Angeles, CA",34.097803000000006,-118.320168,1.5414552708562692
126,126,AUI-10305,23,"3211 Beverly Blvd, Los Angeles, CA",34.072617,-118.28331499999999,2.2772356074925066
127,127,AUI-10300,58,"3215 Beverly Blvd, Los Angeles, CA",34.072713,-118.283534,2.2817799356524344
