,Unnamed: 0,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_1_km,pop_below_18_1_km,pop_between_18_34_1_km,pop_between_34_65_1_km,pop_over_65_1_km,occupied_households_1_km,family_households_1_km,nonfamily_households_1_km,householder_less_than_high_school_1_km,householder_high_school_degree_1_km,householder_some_college_1_km,householder_bachelors_degree_1_km,older_than_3_in_school_1_km,older_than_3_not_in_school_1_km,not_high_school_grad_1_km,high_school_grad_1_km,employed_1_km,unemployed_1_km,not_in_labor_force_1_km,30_49_percet_income_to_rent_1_km,over_50_percent_income_to_rent_1_km,commuters_by_car_truck_van_1_km,commuters_by_car_truck_van_alone_1_km,commuters_by_car_truck_van_carpool_1_km,children_living_with_single_parents_1_km,private_sector_1_km,public_sector_1_km,self_employed_1_km,private_non-profit_1_km,unpaid_family_workers_1_km,households_social_security_income_1_km,households_SsI_1_km,households_retirement_income_1_km,housing_units_1_km,vacant_units_1_km,total_cars_1_km,commute_time_1_km,median_household_income_1_km,average_household_size_1_km,population_density_1_km,median_house_value_1_km,ev_car_count_1_km,total_sessions,total_connection_time,total_amount,total_kwh,distance_freeway,num_pois_nearby
10,10,AUI-10259,"4977 N Genesta Ave, Los Angeles, CA",34.161293,-118.503322,91316-3402,6037139600,114902.0485,5341.625059,1036.830387,999.4646566,2205.810159,1099.519857,2166.213081,1453.91261,4858.09805,112.5692142,108.2021853,487.7529366,1457.688745,1209.266093,3990.264843,5.894401178,225.2664324,2735.183469,143.6460902,1086227.626,122.473213,224.4837653,2207.881905,2030.298591,177.5833138,118.1745267,1512.254048,241.2089326,735.6210584,231.1783134,14.92111576,672.5969546,57.39564727,346.8985174,2398.247035,232.0339533,-0.696982474,34.85216155,642.0441078,2.488800426,1485.803435,143.7117518,205,488:56:00,593.55,2816.475,1.520765681,128
11,11,AUI-10228,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.4880218,91436,6037139701,124693.0955,4787.83106,971.0183001,902.3392668,1857.366651,1057.106842,1830.740227,1242.199828,4400.362528,80.91215555,173.5446179,351.948064,1224.335389,1161.059692,3505.559501,6.514046532,171.8834714,2443.939316,74.09796815,983936.2207,150.3352609,194.3329577,1922.02799,1803.079254,118.9487364,160.5169425,1418.858758,171.8527444,678.8282449,170.9992251,3.400343954,669.2793184,53.92896118,288.5655091,1959.471703,128.731476,-1.028742919,32.58404345,552.0088727,2.65828091,1523.832031,171.1818735,195,384:43:00,397.88,1725.87,1.540517411,130
12,12,AUI-10345,"5093 Alonzo Ave, Los Angeles, CA",34.1625327,-118.520257,91316,6037139502,214172.7707,14386.27017,2424.546286,3376.541111,5817.485757,2767.69702,6339.32821,3644.741108,84415.95881,341.7925075,883.7708176,1912.148763,3201.616122,3436.016875,10554.88823,0.077602108,502.877171,7661.381069,648.0222093,2121673.481,837.5545695,1365.619378,6251.544147,5833.057027,418.4871196,886.0889035,4658.896784,737.6204185,1641.911196,611.056874,11.8957962,1810.300864,477.3707532,764.662344,6731.643166,392.3149562,-0.181694527,35.42100303,643.1367091,2.41593361,1166.506642,124.3607959,82,301:43:00,0,1487.609,1.580390937,119
13,13,AUI-10248,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,91311,6037113303,74142.87913,5135.229562,1120.294217,1262.160633,1987.176291,765.5984213,1620.084186,1213.688219,4793.430781,157.4272319,377.663052,586.6551017,498.3388005,1423.370346,3559.118017,9.640418155,292.1942729,2591.769605,150.5081561,519808.125,190.18585,217.5001757,2169.897173,1896.914193,272.9829805,244.0168472,1762.274049,269.7529293,332.4202703,215.157613,12.1647432,470.2679734,130.0800904,253.1060561,1666.784087,46.6999005,-0.307239245,29.23175721,390.7159646,3.025386105,1456.093523,37.45573912,29,62:49:00,78.53,274.83,2.135999601,127
14,14,AUI-10328,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.2974987,90710-2805,6037294421,221512.9783,13830.49004,3534.07792,3362.493172,5640.513763,1293.405189,4564.325234,3247.695762,62510.73574,1144.113874,997.7561339,1466.752228,955.7029979,3881.366747,9419.173091,78.9836029,717.660074,6715.387977,647.5904407,1614245.221,710.7040234,668.9174593,5617.498429,5011.636673,605.8617563,1108.546753,5124.311178,572.7093881,657.2392,307.6548121,53.4733991,976.9415439,254.6644056,453.2096385,4791.142457,226.8172231,0.596729318,28.26276523,282.6418792,2.750552975,692.7965128,78.29763251,5,0:22,1,2.31,1.794324228,126
15,15,AUI-10237,"25820 S Western Ave, Los Angeles, CA",33.7887512,-118.3074043,90717,6037293307,290105.6318,17085.50687,3678.968091,4108.635106,7175.25124,2122.652431,5979.703577,4095.101522,69256.94935,1157.633397,1422.23416,1806.450347,1593.385672,4336.698505,12136.65404,43.69435926,725.869893,8886.311672,656.6198084,2134436.036,856.3484837,823.429309,7470.470139,6837.491346,632.9787937,957.7508765,6458.42205,917.9343509,984.0313867,440.8056521,85.11823202,1516.035882,310.4642004,672.9336176,6262.825934,283.1223569,-0.088702906,26.93056514,516.4497948,2.844245163,1075.883025,94.25796102,12,4:32,7.01,18.392,2.697257405,127
16,16,AUI-10214,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,90732,6037297000,153604.5328,7455.034561,1486.866566,1566.443355,3147.804248,1253.920392,2963.394612,1938.602744,16988.59009,211.4957343,596.7112404,953.5559472,1201.63169,1664.997578,5574.07766,5.527143877,310.6224316,3691.384261,340.3153896,1154522.011,406.4585503,264.1469227,3236.808596,3006.104341,230.7042552,288.8492908,2593.626555,576.1669993,331.3336135,186.5726629,3.684430561,850.9825706,116.6468803,639.5295054,3230.862129,267.4675177,-0.519847093,29.00564678,547.0082565,2.561687226,1218.285893,71.96252386,35,108:46:00,122.04,671.11,1.810246368,123
17,17,AUI-10262,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,91604,6037143500,195423.4253,11188.09136,2136.412761,2449.676979,5011.065945,1590.935674,4963.928373,2772.623664,20110.82305,144.6972831,414.5298968,1389.136334,3015.564859,2259.261171,8571.950976,0,266.0440571,6578.542497,546.376231,1837646.627,648.1004795,665.6636196,5205.425653,4762.390213,443.0354401,549.5542699,4215.129844,376.391367,1593.446547,375.704192,17.8705468,1055.044518,130.8769519,470.391009,5322.308826,358.3804526,-0.067309446,33.08116469,1089.375113,2.292221223,1111.757484,227.6096254,217,689:17:00,746.87,2478.211,1.418334271,134
18,18,AUI-10224,"23743 W Roscoe Blvd, Los Angeles, CA",34.2193029,-118.644998,91304,6037113231,111334.8488,2649.346007,467.8862109,487.5087574,1125.621568,568.3294711,927.3163606,705.8080665,2980.13924,22.07754801,124.5141946,233.3174054,547.4072127,618.6388242,1971.197559,0.088484756,98.34297866,1286.196086,93.32587718,709593.9139,22.75303362,58.45713998,1044.122872,939.5630478,104.5598239,56.34773198,808.6071684,110.2508669,274.4912322,81.95681207,10.8900068,371.3641533,44.29519507,208.8549972,938.5806572,11.26429652,-0.860511104,33.64507489,166.3258289,2.910082015,757.1799366,55.16432336,96,189:25:00,123.71,862.152,2.46886808,77
19,19,AUI-10269,"17729 Chatsworth Ave, Los Angeles, CA",34.2651037,-118.5208745,91344,6037111202,123981.1285,9317.666741,2102.13726,1999.632013,3919.192892,1296.704577,3219.657179,2162.393625,12362.67243,227.9178092,534.793409,1181.07107,1275.87489,2641.605848,6404.091584,15.34750447,628.9948561,4669.354285,259.6032035,911249.8687,398.8260471,393.3174066,4002.554437,3553.121808,449.4326284,342.5740805,3006.047547,692.0617249,653.5222778,316.3550094,1.367726218,848.3359294,223.7215274,479.9869824,3574.094539,354.43736,-0.588054355,32.34756913,664.1410904,2.886944393,1698.425155,79.85806225,89,246:32:00,112.01,1389.768,1.840021392,114
